state,state_longform,num_post_offices
AL,Alabama,3471
AK,Alaska,485
AZ,Arizona,654
AR,Arkansas,3038
CA,California,3181
CO,Colorado,1298
CT,Connecticut,686
DE,Delaware,246
FL,Florida,1642
GA,Georgia,2913
HI,Hawaii,179
ID,Idaho,893
IL,Illinois,3784
IN,Indiana,2631
IA,Iowa,3807
KS,Kansas,2866
KY,Kentucky,5007
LA,Louisiana,1968
ME,Maine,1499
MD,Maryland,1743
MA,Massachusetts,1213
MI,Michigan,3711
MN,Minnesota,2777
MS,Mississippi,2647
MO,Missouri,4260
MT,Montana,1904
NE,Nebraska,1590
NV,Nevada,693
NH,New Hampshire,671
NJ,New Jersey,1270
NM,New Mexico,1079
NY,New York,4728
NC,North Carolina,3229
ND,North Dakota,1183
OH,Ohio,4575
OK,Oklahoma,1810
OR,Oregon,2143
PA,Pennsylvania,6308
RI,Rhode Island,225
SC,South Carolina,1625
SD,South Dakota,1419
TN,Tennessee,3418
TX,Texas,4450
UT,Utah,613
VT,Vermont,711
VA,Virginia,3994
WA,Washington,1619
WV,West Virginia,3535
WI,Wisconsin,2560
WY,Wyoming,544
AL,Alabama,3471
AK,Alaska,485
AZ,Arizona,654
AR,Arkansas,3038
CA,California,3181
CO,Colorado,1298
CT,Connecticut,686
DE,Delaware,246
FL,Florida,1642
GA,Georgia,2913
HI,Hawaii,179
ID,Idaho,893
IL,Illinois,3784
IN,Indiana,2631
IA,Iowa,3807
KS,Kansas,2866
KY,Kentucky,5007
LA,Louisiana,1968
ME,Maine,1499
MD,Maryland,1743
MA,Massachusetts,1213
MI,Michigan,3711
MN,Minnesota,2777
MS,Mississippi,2647
MO,Missouri,4260
MT,Montana,1904
NE,Nebraska,1590
NV,Nevada,693
NH,New Hampshire,671
NJ,New Jersey,1270
NM,New Mexico,1079
NY,New York,4728
NC,North Carolina,3229
ND,North Dakota,1183
OH,Ohio,4575
OK,Oklahoma,1810
OR,Oregon,2143
PA,Pennsylvania,6308
RI,Rhode Island,225
SC,South Carolina,1625
SD,South Dakota,1419
TN,Tennessee,3418
TX,Texas,4450
UT,Utah,613
VT,Vermont,711
VA,Virginia,3994
WA,Washington,1619
WV,West Virginia,3535
WI,Wisconsin,2560
WY,Wyoming,544
